1.000000e-06 200002 -1.551397e-04
1.000000e-06 200002 -6.146890e-04
1.500000e-06 186240 -5.452759e-04
1.500000e-06 200002 9.469497e-03
2.250000e-06 139232 -1.400504e-04
2.250000e-06 200002 2.141316e-02
3.375000e-06 96007 -8.402458e-05
3.375000e-06 200002 1.824619e-04
5.062500e-06 66077 1.960808e-04
5.062500e-06 200002 9.238430e-03
7.593750e-06 43640 4.150491e-04
7.593750e-06 88592 -7.930686e-04
1.139063e-05 31725 -7.308356e-05
1.139063e-05 200002 2.057941e-04
1.708594e-05 19452 -5.258603e-04
1.708594e-05 67273 -8.191218e-05
2.562891e-05 15564 1.748802e-04
2.562891e-05 18975 -3.641639e-05
3.844336e-05 10697 9.409482e-05
3.844336e-05 158182 3.547673e-04
5.766504e-05 22708 -3.508804e-05
5.766504e-05 72275 -8.197806e-05
8.649756e-05 15173 3.205284e-04
8.649756e-05 19689 -8.190575e-05
1.297463e-04 10785 4.115573e-04
1.297463e-04 69719 -8.195691e-05
1.946195e-04 200002 9.516631e-03
1.946195e-04 15802 8.190591e-05
2.919293e-04 200002 8.140409e-03
2.919293e-04 9715 8.191809e-05
4.378939e-04 200002 9.682814e-03
4.378939e-04 21220 8.196293e-05
6.568409e-04 200002 8.640630e-03
6.568409e-04 31853 -8.192416e-05
9.852613e-04 200002 9.651773e-03
9.852613e-04 19877 -8.191800e-05
1.477892e-03 200002 1.080053e-02
1.477892e-03 24286 -8.194499e-05
